frequency,exposure,duty_cycle,camera,affected_rows_mean,affected_rows_std,affected_rows_99ci,affected_rows_95ci
25Hz,Exposure 200,0.9,Axis,41.645161290322584,6.5724173737884115,1.550512795851566,1.1730448925140182
25Hz,Exposure 200,0.7,Axis,37.31818181818182,6.788267710719482,1.5502760432330829,1.173280821935197
25Hz,Exposure 100,0.4,Axis,27.467741935483872,6.258459415541765,1.4764463140784732,1.1170096837863843
25Hz,Exposure 100,0.2,Axis,25.43518518518519,4.480974489228191,1.1360724229101555,0.8587529231921035
25Hz,Exposure 100,1.0,Axis,40.11290322580645,7.519018550208313,1.7738274688454982,1.3419942473854167
25Hz,Exposure 100,0.5,Axis,30.03875968992248,6.142245506081611,1.4195743856807597,1.074226204112456
25Hz,Exposure 100,0.6,Axis,31.01538461538461,7.953697365071664,1.8308776017790969,1.3855290556046522
25Hz,Exposure 100,0.1,Axis,22.689320388349515,5.5930420126800175,1.45364831158471,1.0984471397781777
25Hz,Exposure 100,10.0,Axis,219.8111111111111,7.001419609137126,1.9534876920847708,1.4746342433801898
25Hz,Exposure 100,0.3,Axis,27.03968253968254,7.558660326470887,1.7684113627595526,1.3380207612120611
25Hz,Exposure 100,0.9,Axis,38.6031746031746,7.774683543888393,1.8189517886817417,1.3762608113431931
25Hz,Exposure 100,25.0,Axis,517.7058823529412,3.753660266716192,1.7860005298259856,1.3294100358822332
25Hz,Exposure 100,30.0,Axis,612.8823529411766,1.9061002054140763,1.391825612582747,1.0101879815758896
25Hz,Exposure 100,0.8,Axis,36.296,5.037497791562792,1.1834548863140226,0.8953880378556791
25Hz,Exposure 100,15.0,Axis,318.0657894736842,6.281416883231188,1.9169967028446548,1.4449026606641415
25Hz,Exposure 100,20.0,Axis,413.53731343283584,44.927911863608216,14.668382376935794,11.041487712180528
25Hz,Exposure 100,0.7,Axis,32.96825396825397,7.702747920242602,1.802121852059652,1.3635268937239922
25Hz,Exposure 100,5.0,Axis,119.85217391304349,11.120090301682822,2.728338984276894,2.0631873926569995
25Hz,Exposure 75,0.6,Axis,30.87719298245614,6.834048337702625,1.6844051991092353,1.2736873585922948
25Hz,Exposure 75,0.5,Axis,27.910714285714285,6.521329798970358,1.6222455711725936,1.2265447066136512
25Hz,Exposure 75,25.0,Axis,512.75,4.985395337048675,2.2953117911385448,1.7107427503119568
25Hz,Exposure 75,20.0,Axis,403.5322580645162,65.27132397623647,22.220432422564837,16.711127583016818
25Hz,Exposure 75,5.0,Axis,118.09917355371901,10.492346646959474,2.507007388653779,1.8964086709604495
25Hz,Exposure 75,30.0,Axis,608.6666666666666,4.320493798938574,3.0369794337006577,2.2108201798896983
25Hz,Exposure 75,0.2,Axis,25.27083333333333,5.75448949130638,1.5519062507297765,1.1720885485608121
25Hz,Exposure 75,0.1,Axis,23.242105263157892,4.0929098887393955,1.109898413194764,0.8381915440119908
25Hz,Exposure 75,0.9,Axis,37.67479674796748,8.339830899378795,1.975768734685075,1.4947024555459791
25Hz,Exposure 75,0.7,Axis,31.73949579831933,6.9263377312710785,1.669379262973271,1.2626633125115725
25Hz,Exposure 75,1.0,Axis,38.833333333333336,6.409856262814442,1.5798535042637778,1.1946290820478622
25Hz,Exposure 75,0.8,Axis,34.414414414414416,8.557667094397338,2.138798634673707,1.6170046212824691
25Hz,Exposure 75,10.0,Axis,215.98039215686276,7.093189763617183,1.8529941609671243,1.4001148843936186
25Hz,Exposure 75,0.3,Axis,26.037037037037038,6.179305255696041,1.5666543763227752,1.1842282218703948
25Hz,Exposure 75,0.4,Axis,26.317757009345797,5.8078228437122785,1.4796537908765357,1.118394261328679
