video_name,video_dataset,previous_frame,current_frame,frequency,exposure,duty_cycle,pattern_id,ssim,ms_ssim,uqi
VIRAT_S_010204_03_000606_000632.mp4,VIRAT,0,1,0,0,0,-1,0.9733795511187403,0.9881378381319168,0.9969609318527078
VIRAT_S_010204_03_000606_000632.mp4,VIRAT,100,101,0,0,0,-1,0.9942122189603121,0.9973246154711719,0.9993581175453591
VIRAT_S_010204_03_000606_000632.mp4,VIRAT,200,201,0,0,0,-1,0.9819643366023664,0.9938035277926696,0.9983997205087675
VIRAT_S_010204_03_000606_000632.mp4,VIRAT,300,301,0,0,0,-1,0.9984836051918534,0.9995611502452783,0.9998354031126949
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,0,1,0,0,0,-1,0.9768094280117253,0.9924643924713745,0.9983133334947668
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,100,101,0,0,0,-1,0.9807308574260389,0.9908220096371262,0.9964361015790022
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,200,201,0,0,0,-1,0.9972979270156886,0.999319676423619,0.9997444722984464
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,300,301,0,0,0,-1,0.9937141198687137,0.998311112692595,0.9995114992884021
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,400,401,0,0,0,-1,0.9931823522792119,0.9980740349445985,0.9992563119873838
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,500,501,0,0,0,-1,0.982340038542001,0.993714013213099,0.9976600086771095
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,600,601,0,0,0,-1,0.9876021014649545,0.9939264999633659,0.9980674245228206
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,700,701,0,0,0,-1,0.9969479899904575,0.999173239743324,0.9996353513990947
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,800,801,0,0,0,-1,0.9925003775249254,0.9980046719743665,0.9991327520901588
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,900,901,0,0,0,-1,0.994372213762222,0.9985244337020908,0.9995765262594368
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1000,1001,0,0,0,-1,0.9868376739261029,0.9966904014359933,0.9991557337433891
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1100,1101,0,0,0,-1,0.9923525913835817,0.9981495240683899,0.9993286211357493
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1200,1201,0,0,0,-1,0.9967093097223021,0.9991668451849548,0.9997185797777705
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1300,1301,0,0,0,-1,0.995443936678332,0.9984859809607592,0.9995397032495458
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1400,1401,0,0,0,-1,0.9913635163277958,0.9976724651426147,0.9992405249671871
VIRAT_S_010204_11_001524_001607.mp4,VIRAT,1500,1501,0,0,0,-1,0.9792274380357284,0.9931941741564058,0.9981714852984586
VIRAT_S_010208_07_000768_000791.mp4,VIRAT,0,1,0,0,0,-1,0.9898161196515328,0.9971054400616529,0.9995162257033235
VIRAT_S_010208_07_000768_000791.mp4,VIRAT,100,101,0,0,0,-1,0.9932202200981256,0.9967860402744044,0.9989606532891219
VIRAT_S_010208_07_000768_000791.mp4,VIRAT,200,201,0,0,0,-1,0.9906274089328758,0.9945863681104543,0.9988117391041724
VIRAT_S_010208_07_000768_000791.mp4,VIRAT,300,301,0,0,0,-1,0.9903951609670752,0.9963859859706555,0.9989941086515394
VIRAT_S_010208_07_000768_000791.mp4,VIRAT,400,401,0,0,0,-1,0.9970309862450888,0.9987618160861402,0.999565661534611
VIRAT_S_010001_03_000537_000563.mp4,VIRAT,0,1,0,0,0,-1,0.9860707107764012,0.9966315655323615,0.9992717030198727
VIRAT_S_010001_03_000537_000563.mp4,VIRAT,100,101,0,0,0,-1,0.9956814860147208,0.9986805129977786,0.999628898234525
VIRAT_S_010001_03_000537_000563.mp4,VIRAT,200,201,0,0,0,-1,0.9973769592972913,0.9992984821519114,0.99974300194874
VIRAT_S_010001_03_000537_000563.mp4,VIRAT,300,301,0,0,0,-1,0.9977433559492369,0.9994101358982758,0.9997737146124176
VIRAT_S_010001_03_000537_000563.mp4,VIRAT,400,401,0,0,0,-1,0.9956293053480798,0.9986010926511695,0.9995723383677046
b21ac8b3-9b9cb45a.mov,BDD100K,0,1,750,32,40,1,0.7239184424154711,0.7758393098414126,0.6915567680170832
b21ac8b3-9b9cb45a.mov,BDD100K,0,1,750,32,40,10,0.7306491826296538,0.7743833519988603,0.699753518128636
b21ac8b3-9b9cb45a.mov,BDD100K,0,1,750,32,40,13,0.7278058998627026,0.7763465025160445,0.6960121333748536
b21ac8b3-9b9cb45a.mov,BDD100K,0,1,750,32,40,4,0.7238479226505694,0.7760342768342972,0.6917377738943545
b21ac8b3-9b9cb45a.mov,BDD100K,0,1,750,32,40,2,0.7328999720787434,0.7765787767760258,0.7023782856769177
b21ac8b3-9b9cb45a.mov,BDD100K,100,101,750,32,40,1,0.7567929642748242,0.8062510324966983,0.7109434458074118
b21ac8b3-9b9cb45a.mov,BDD100K,100,101,750,32,40,10,0.7620338792006404,0.8038558198028527,0.7166270436188539
b21ac8b3-9b9cb45a.mov,BDD100K,100,101,750,32,40,13,0.7600588530854443,0.8060384519959326,0.714100673219182
b21ac8b3-9b9cb45a.mov,BDD100K,100,101,750,32,40,4,0.7564404110932337,0.8062850053992312,0.7108744474880281
b21ac8b3-9b9cb45a.mov,BDD100K,100,101,750,32,40,2,0.7645707498966926,0.806085589531101,0.7198648671384381
b21ac8b3-9b9cb45a.mov,BDD100K,200,201,750,32,40,1,0.7084867617345304,0.7774348684995277,0.652818045885465
b21ac8b3-9b9cb45a.mov,BDD100K,200,201,750,32,40,10,0.7160264688995793,0.7775861516496562,0.6592435817130277
b21ac8b3-9b9cb45a.mov,BDD100K,200,201,750,32,40,13,0.7127490845220391,0.778865177483549,0.655920445763278
b21ac8b3-9b9cb45a.mov,BDD100K,200,201,750,32,40,4,0.7082195624378715,0.7775293423788678,0.6529556461926593
b21ac8b3-9b9cb45a.mov,BDD100K,200,201,750,32,40,2,0.7184246318879494,0.7798013675950438,0.6612779390844682
b21ac8b3-9b9cb45a.mov,BDD100K,300,301,750,32,40,1,0.7573046807756336,0.8111871949865991,0.6794278104959625
b21ac8b3-9b9cb45a.mov,BDD100K,300,301,750,32,40,10,0.7648452173428407,0.8098749594386436,0.6865350083627498
b21ac8b3-9b9cb45a.mov,BDD100K,300,301,750,32,40,13,0.7619918209732167,0.8120311252542597,0.683587867107795
b21ac8b3-9b9cb45a.mov,BDD100K,300,301,750,32,40,4,0.7565828113506067,0.811325675465332,0.6787307699320255
b21ac8b3-9b9cb45a.mov,BDD100K,300,301,750,32,40,2,0.7675467568991404,0.8124498501594425,0.6888079133213232
b21ac8b3-9b9cb45a.mov,BDD100K,400,401,750,32,40,1,0.8076314664747436,0.8125678638711299,0.8180658363429556
b21ac8b3-9b9cb45a.mov,BDD100K,400,401,750,32,40,10,0.813020249369175,0.8135631764561168,0.8237276352148086
b21ac8b3-9b9cb45a.mov,BDD100K,400,401,750,32,40,13,0.8112619458724458,0.8156394927216097,0.8216147399465541
b21ac8b3-9b9cb45a.mov,BDD100K,400,401,750,32,40,4,0.80742346443812,0.8126608925650644,0.8181182821938234
