frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,32,20.0,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,222,53,17,5
25,32,20.0,b1e1a7b8-b397c445,400,ssd_inception_v2_coco_2018_01_28,229,50,13,19
25,32,20.0,b1e1a7b8-b397c445,440,ssd_inception_v2_coco_2018_01_28,247,29,16,9
25,32,20.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,290,2,0,2
25,32,20.0,b1e1a7b8-b397c445,660,ssd_inception_v2_coco_2018_01_28,223,52,17,9
25,32,20.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,233,42,17,4
25,32,30.0,b1e1a7b8-b397c445,560,faster_rcnn_inception_v2_coco_2018_01_28,343,65,42,25
25,32,30.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,443,4,3,2
25,32,30.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,341,67,42,23
25,32,30.0,b1e1a7b8-b397c445,560,ssd_inception_v2_coco_2018_01_28,223,54,15,12
25,32,30.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,292,0,0,2
25,32,30.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,178,99,15,8
25,32,40.0,b1e1a7b8-b397c445,300,faster_rcnn_inception_v2_coco_2018_01_28,443,4,3,4
25,32,40.0,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,345,64,41,28
25,32,40.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,351,59,40,29
25,32,40.0,b1e1a7b8-b397c445,540,faster_rcnn_inception_v2_coco_2018_01_28,440,6,4,11
25,32,40.0,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,449,1,0,0
25,32,40.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,371,45,34,25
25,32,40.0,b1e1a7b8-b397c445,300,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,32,40.0,b1e1a7b8-b397c445,420,ssd_inception_v2_coco_2018_01_28,194,83,15,10
